,用户名称,弹幕,会员等级,发布时间,弹幕点赞,弹幕id
0,, 我觉得丁辉还是不错的对吧,0,108,0,6746312268456328598
0,,来看yamy,0,108,0,6746314779401927455
0,,来啦,6,95,1,6744944102095694554
0,🍄,学霸鹅 :  我来惹,2,98,2,6744944580980360878
0,,20.02,0,95,0,6744944749338358840
0,,承包空屏,2,96,4,6744944730997986511
0,Dean,我吃着稻香蛙，看OFFER！,0,98,1,6744948305626861506
0,, 所有人我都喜欢。都喜欢！！,1,97,9,6744949469873642629
0,,片头没换爷青回,6,99,37,6744956325546440721
0,,何老师太帅了！！加油团加的什么人，不喜欢👎,0,95,7,6744951282147553734
0,🧋, 辉哥好可惜,0,98,0,6744980511790739737
0,,干饭鹅 : 辉哥好可惜,0,97,1,6745000017519944634
0,ゞMr.OSゞ,骁骁我来了,0,96,0,6745188305625870747
0,Angela-J🔥,干饭鹅 : 所有人我都喜欢。都喜欢！！,0,95,1,6745254365293458721
0,Y(^_^)Y,fcc,0,97,0,6745332765929491444
0,, 难兄难弟走了,0,95,0,6746049548403591447
0,,为丞丞丞丞丞丞爱你而来,0,99,0,6746383425977119337
0,,第一,5,112,0,6744942635447946572
0,llisland,来了来了,1,114,2,6744943199355339622
0,,干饭鹅 : 大家好我是周深,3,113,4,6744948924144092978
0,,来咯来咯,0,113,0,6744948834213312631
0,, 在干夜宵,0,114,0,6744980905891739209
0,97,朱一暄朱一暄暄暄暄 ～,0,112,1,6744984313643126751
0,stranger,干饭鹅 : 没有丁辉的第一期,2,112,3,6745146086345160271
0,,我来看看新来的有多刚,0,114,5,6745005846285495292
0,偏爱只给周深.,前面那个不喜欢加油团的，谁让你喜欢，不喜欢就别看,1,110,6,6745209038260645032
0,, 承包空屏,0,113,0,6745252301382293319
0,曾经沧海难为水, 辉哥走的第一天,0,110,1,6745280418380526505
0,King,感觉只有秋怡最冷静，心里只有工作,1,111,2,6745293029068220273
0,,瞿总万国可以的 毕竟保时捷车主,0,110,3,6745309063744601615
0,, 难兄难弟走了,0,111,3,6745313727236029821
0,, 瞿总牛逼,0,112,0,6745316118791432898
0,月月,范丞丞姐姐来看你啦,0,110,0,6745264590911161946
0,,没有人呐,1,104,0,6744944001964079902
0,,第一名,0,104,3,6744944044352674966
0,,承包空屏,1,100,3,6744949484670188418
0,, 在干夜宵,0,104,3,6744959611742700669
